"","animal_id","animal_name","animal_type","primary_color","secondary_color","sex","dob","intake_date","intake_condition","intake_type","intake_subtype","reason_for_intake","outcome_date","crossing","jurisdiction","outcome_type","outcome_subtype","latitude","longitude","outcome_is_dead","was_outcome_alive","geopoint","color","intake"
"1","A602172",NA,"cat","gray tabby",NA,"Female",2015-01-11,2018-01-11,"normal","stray","otc",NA,2018-01-17,"00 BLK REDONDO AVE, LONG BEACH, CA 90803","Long Beach","transfer","spcala",33.7610023,-118.1526611,FALSE,TRUE,"33.7610023, -118.1526611","grey","normal"
"2","A706435","lorelei","cat","brown  tabby",NA,"Spayed",2021-09-07,2023-09-07,"ill mild","stray","otc",NA,2023-12-10,"00 BLOCK E MARKET ST, LONG BEACH CA","Long Beach","adoption",NA,33.8542837,-118.1964921,FALSE,TRUE,"33.8542837, -118.1964921","other","mild"
"3","A721324","calvin","cat","gray","white","Neutered",2018-09-01,2024-05-26,"normal","owner surrender","otc",NA,2024-06-08,"00 BLOCK W 47TH ST, LONG BEACH CA","Long Beach","adoption","web",33.8430309,-118.192467,FALSE,TRUE,"33.8430309, -118.192467","grey","normal"
"4","A604330",NA,"cat","brown",NA,"Unknown",NA,2018-03-01,"ill severe","stray","field",NA,2018-03-01,"1 BLK E 53RD ST, LONG BEACH, CA 90805","Long Beach","euthanasia","ill severe",33.8523843,-118.195835,TRUE,FALSE,"33.8523843, -118.195835","brown","severe"
"5","A490165","bobette","cat","gray","white","Spayed",2010-03-06,2019-07-02,"normal","safe keep","owner died",NA,2019-07-10,"10 BLK 58TH PL, LONG BEACH, CA 90803","Long Beach","return to owner","walkin",33.7493316,-118.1252406,FALSE,TRUE,"33.7493316, -118.1252406","grey","normal"
"6","A587568",NA,"cat","black",NA,"Female",2014-03-25,2017-03-25,"ill mild","stray","otc",NA,2017-03-25,"10 BLK NIETO AVE, LONG BEACH, CA 90803","Long Beach","euthanasia","ill severe",33.7562364,-118.1377058,TRUE,FALSE,"33.7562364, -118.1377058","black","mild"
"7","A596942","*mr mittens","cat","black","white","Neutered",2014-09-12,2017-09-12,"feral","stray","field",NA,2018-01-24,"10 E 53RD ST, LONG BEACH, CA 90805","Long Beach","rescue","fndanifoun",33.8523859,-118.1955218,FALSE,TRUE,"33.8523859, -118.1955218","black","feral_fractious"
"8","A635097",NA,"cat","brown  tabby",NA,"Neutered",NA,2019-10-17,"ill moderatete","stray","field",NA,2019-10-18,"10 POMONA AVE, LONG BEACH, CA 90803","Long Beach","euthanasia","ill severe",33.7551064,-118.1345301,TRUE,FALSE,"33.7551064, -118.1345301","other","moderate"
"9","A638369","a638369","cat","white","gray","Neutered",2017-01-09,2020-01-09,"fractious","stray","field",NA,2020-01-14,"10 W PLESANT ST, LONG BEACH, CA 90805","Long Beach","shelter, neuter, return","straycatal",33.8460665,-118.1940513,FALSE,TRUE,"33.8460665, -118.1940513","white","feral_fractious"
"10","A593462","*plum","cat","black",NA,"Female",2017-04-13,2017-07-13,"normal","stray","otc",NA,2017-07-25,"100 ATLANTIC AVE, LONG BEACH, CA 90802","Long Beach","rescue","catpaws",33.7684106,-118.1846501,FALSE,TRUE,"33.7684106, -118.1846501","black","normal"
"11","A593461","*fig","cat","brown  tabby",NA,"Female",2017-04-13,2017-07-13,"normal","stray","otc",NA,2017-07-25,"100 ATLANTIC AVE, LONG BEACH, CA 90802","Long Beach","rescue","catpaws",33.7684106,-118.1846501,FALSE,TRUE,"33.7684106, -118.1846501","other","normal"
"12","A617524","pickle","cat","brown  tabby",NA,"Female",2016-11-14,2021-12-12,"normal","confiscate","owner died",NA,2021-12-14,"100 BLK 4TH ST, SEAL BEACH, CA 90740","Seal Beach","return to rescue","zazzycat",33.7420707,-118.1102942,FALSE,TRUE,"33.7420707, -118.1102942","other","normal"
"13","A647453",NA,"cat","white",NA,"Male",2020-05-22,2020-08-22,"normal","stray","otc",NA,2020-08-29,"100 BLK 68TH ST, LONG BEACH, CA 90805","Long Beach","transfer","spcala",33.8775178,-118.2025528,FALSE,TRUE,"33.8775178, -118.2025528","white","normal"
"14","A669321","oliver","cat","black",NA,"Male",2021-06-13,2022-01-13,"normal","welfare seized","hospital",NA,2022-01-29,"100 BLK ATLANTIC AVE, LONG BEACH, CA 90802","Long Beach","return to owner","phone",33.7684106,-118.1846501,FALSE,TRUE,"33.7684106, -118.1846501","black","normal"
"15","A699277","dixie","cat","gray","white","Spayed",2023-03-30,2023-05-24,"ill mild","stray","otc",NA,2023-05-27,"100 BLK BARCLAY ST LB 90805","Long Beach","adoption","web",33.8661015,-118.2027924,FALSE,TRUE,"33.8661015, -118.2027924","grey","mild"
"16","A633462","a633462*haygar","cat","gray","white","Male",2017-09-12,2019-09-12,"fractious","stray","otc",NA,2019-09-26,"100 BLK BONITO AVE, LONG BEACH, CA 90802","Long Beach","euthanasia","ill severe",33.7672385,-118.1807414,TRUE,FALSE,"33.7672385, -118.1807414","grey","feral_fractious"
"17","A627332","tawny","cat","tortie",NA,"Spayed",2014-05-30,2019-05-30,"normal","owner surrender","field",NA,2019-06-02,"100 BLK BONITO AVE, LONG BEACH, CA 90802","Long Beach","transfer","spcala",33.7672385,-118.1807414,FALSE,TRUE,"33.7672385, -118.1807414","multi","normal"
"18","A586176","*sally","cat","calico","black","Female",2016-10-23,2017-02-23,"normal","owner surrender","otc","too many",2017-02-23,"100 BLK CERRITOS AVE, LONG BEACH, CA 90802","Long Beach","transfer","spcala",33.7672612,-118.1786864,FALSE,TRUE,"33.7672612, -118.1786864","multi","normal"
"19","A632562",NA,"cat","black","white","Female",2018-08-25,2019-08-25,"ill moderatete","stray","field",NA,2019-08-26,"100 BLK E 31ST ST, LONG BEACH, CA 90807","Long Beach","euthanasia","at vet",33.8133641,-118.1924891,TRUE,FALSE,"33.8133641, -118.1924891","black","moderate"
